order_id,customer_id,order_date,ship_date,segment,region,category,product_name,quantity,unit_price,discount,revenue,profit
ORD-1015,CUST-2090,2023-08-04,2023-08-05,Consumer,North,Clothing,Running Shoes,2,1103.22,0.0,2206.44,975.9
ORD-1016,CUST-2902,2022-06-19,2022-06-22,Home Office,West,Furniture,Standing Desk,9,1311.2,0.15,10030.68,4388.69
ORD-1017,CUST-1460,2023-10-28,2023-10-31,Home Office,West,Furniture,Office Chair,8,1351.43,0.15,9189.72,1308.17
ORD-1018,CUST-1120,2023-07-22,2023-07-24,Home Office,North,Electronics,Samsung TV,10,345.92,0.0,3459.2,1202.92
ORD-1019,CUST-1270,2022-03-14,2022-03-19,Corporate,North,Furniture,Office Desk,4,432.15,0.15,1469.31,257.1
ORD-1020,CUST-1956,2022-07-14,2022-07-15,Corporate,West,Food & Bev,Air Fryer,2,995.29,0.1,1791.52,444.75
ORD-1021,CUST-1287,2022-12-14,2022-12-21,Corporate,North,Electronics,MacBook Pro,2,388.01,0.05,737.22,212.1
ORD-1022,CUST-2335,2022-09-13,2022-09-20,Corporate,East,Food & Bev,Air Fryer,2,675.83,0.2,1081.33,145.19
ORD-1023,CUST-1337,2023-02-21,2023-02-25,Consumer,South,Electronics,MacBook Pro,8,336.35,0.15,2287.18,951.14
ORD-1024,CUST-1996,2023-04-11,2023-04-14,Corporate,West,Food & Bev,Coffee Maker,7,1050.96,0.2,5885.38,1951.92
ORD-1025,CUST-2196,2022-03-01,2022-03-06,Consumer,East,Furniture,Standing Desk,9,110.22,0.1,892.78,107.14
ORD-1026,CUST-1481,2023-06-05,2023-06-06,Consumer,South,Food & Bev,Tea Set,3,121.41,0.0,364.23,122.5
ORD-1027,CUST-1647,2023-09-01,2023-09-02,Home Office,South,Food & Bev,Coffee Maker,10,141.34,0.2,1130.72,336.76
ORD-1028,CUST-2902,2022-09-29,2022-10-03,Consumer,East,Clothing,Running Shoes,3,1014.1,0.1,2738.07,711.98
ORD-1029,CUST-2911,2023-07-31,2023-08-01,Home Office,West,Electronics,MacBook Pro,2,815.7,0.2,1305.12,251.65
ORD-1030,CUST-2652,2022-10-19,2022-10-21,Corporate,South,Clothing,Winter Jacket,8,1253.94,0.1,9028.37,2835.7
ORD-1031,CUST-1318,2022-04-17,2022-04-19,Home Office,East,Electronics,Dell Monitor,5,190.83,0.0,954.15,343.35
ORD-1032,CUST-2732,2022-12-18,2022-12-20,Home Office,South,Clothing,Formal Shirt,5,768.01,0.1,3456.05,1440.72
ORD-1033,CUST-1904,2022-02-15,2022-02-16,Corporate,West,Electronics,MacBook Pro,6,1161.26,0.1,6270.8,981.72
ORD-1034,CUST-1303,2022-03-19,2022-03-25,Consumer,North,Food & Bev,Tea Set,3,827.47,0.1,2234.17,678.92
ORD-1035,CUST-2365,2023-01-09,2023-01-16,Corporate,North,Food & Bev,Air Fryer,1,1350.41,0.05,1282.89,434.54
ORD-1036,CUST-1050,2022-06-08,2022-06-10,Home Office,West,Electronics,Samsung TV,3,1464.78,0.05,4174.62,1705.31
ORD-1037,CUST-1079,2022-09-12,2022-09-15,Home Office,West,Furniture,Office Chair,3,1185.31,0.0,3555.93,831.7
ORD-1038,CUST-1570,2022-12-25,2022-12-28,Corporate,South,Food & Bev,Air Fryer,4,349.93,0.05,1329.73,318.42
ORD-1039,CUST-2987,2023-06-06,2023-06-10,Home Office,East,Electronics,Samsung TV,9,510.1,0.0,4590.9,644.42
ORD-1040,CUST-2047,2022-04-22,2022-04-27,Consumer,East,Clothing,Running Shoes,7,531.62,0.1,3349.21,846.47
ORD-1041,CUST-2925,2022-02-15,2022-02-21,Corporate,South,Electronics,iPad Air,7,22.5,0.2,126.0,42.89
ORD-1042,CUST-1615,2023-11-12,2023-11-15,Consumer,West,Furniture,Office Chair,10,484.6,0.0,4846.0,1705.38
ORD-1043,CUST-1776,2023-12-15,2023-12-18,Corporate,East,Clothing,Jeans,9,208.39,0.15,1594.18,530.42
ORD-1044,CUST-2187,2023-07-16,2023-07-23,Corporate,East,Furniture,Sofa,1,469.73,0.05,446.24,111.77
ORD-1045,CUST-1581,2023-11-23,2023-11-25,Corporate,West,Clothing,Jeans,9,720.32,0.05,6158.74,2036.07
ORD-1046,CUST-1973,2022-11-14,2022-11-16,Home Office,South,Clothing,Winter Jacket,4,238.08,0.0,952.32,176.84
ORD-1047,CUST-2408,2023-08-13,2023-08-15,Home Office,West,Electronics,iPad Air,7,751.68,0.05,4998.67,758.05
ORD-1048,CUST-2737,2022-06-30,2022-07-07,Consumer,West,Electronics,MacBook Pro,9,707.53,0.2,5094.22,953.74
ORD-1049,CUST-2473,2023-11-15,2023-11-20,Corporate,South,Electronics,iPad Air,9,901.27,0.15,6894.72,2167.9
ORD-1050,CUST-2067,2023-05-02,2023-05-06,Consumer,West,Food & Bev,Tea Set,5,1132.63,0.1,5096.84,1875.81
ORD-1051,CUST-2106,2022-03-21,2022-03-27,Corporate,East,Food & Bev,Air Fryer,5,367.05,0.1,1651.73,350.0
ORD-1052,CUST-1677,2023-01-28,2023-02-03,Consumer,South,Electronics,iPhone 15,3,1065.5,0.0,3196.5,783.79
ORD-1053,CUST-2567,2023-03-07,2023-03-11,Consumer,North,Food & Bev,Blender,10,1420.17,0.0,14201.7,5678.64
ORD-1054,CUST-2504,2022-11-02,2022-11-09,Corporate,North,Food & Bev,Blender,7,1283.1,0.15,7634.44,2201.6
ORD-1055,CUST-2721,2023-03-23,2023-03-27,Corporate,South,Furniture,Bookshelf,1,595.51,0.15,506.18,178.92
ORD-1056,CUST-1945,2023-08-30,2023-09-04,Corporate,North,Food & Bev,Air Fryer,1,144.24,0.15,122.6,18.08
ORD-1057,CUST-2948,2022-12-02,2022-12-04,Corporate,East,Furniture,Office Desk,8,503.73,0.15,3425.36,676.13
ORD-1058,CUST-1140,2022-01-20,2022-01-26,Corporate,North,Food & Bev,Water Bottle,9,97.09,0.1,786.43,140.36
ORD-1059,CUST-2155,2022-01-21,2022-01-26,Consumer,South,Electronics,MacBook Pro,3,373.05,0.15,951.28,318.02
ORD-1060,CUST-1335,2022-06-21,2022-06-26,Corporate,East,Furniture,Bookshelf,10,1446.33,0.0,14463.3,5383.63
ORD-1061,CUST-2414,2023-08-13,2023-08-19,Corporate,North,Clothing,Winter Jacket,7,607.05,0.05,4036.88,511.06
ORD-1062,CUST-1711,2023-09-07,2023-09-14,Home Office,East,Furniture,Office Desk,2,1198.42,0.2,1917.47,716.98
ORD-1063,CUST-2967,2023-10-26,2023-10-29,Home Office,North,Food & Bev,Water Bottle,1,1277.37,0.15,1085.76,148.68
ORD-1064,CUST-2883,2022-06-30,2022-07-06,Corporate,South,Clothing,Jeans,9,1448.9,0.1,11736.09,3703.55
ORD-1065,CUST-1923,2023-08-30,2023-09-02,Home Office,West,Food & Bev,Blender,6,1280.54,0.0,7683.24,1518.4
ORD-1066,CUST-1529,2022-01-30,2022-02-03,Corporate,West,Furniture,Bookshelf,6,289.12,0.05,1647.98,369.46
ORD-1067,CUST-2552,2022-01-11,2022-01-16,Home Office,East,Clothing,Formal Shirt,4,146.71,0.15,498.81,135.18
ORD-1068,CUST-2191,2022-01-18,2022-01-19,Corporate,West,Furniture,Bookshelf,5,347.96,0.05,1652.81,342.42
ORD-1069,CUST-1472,2023-07-18,2023-07-21,Corporate,East,Clothing,Jeans,6,1060.23,0.1,5725.24,1186.95
ORD-1070,CUST-2207,2023-07-03,2023-07-10,Consumer,East,Electronics,iPhone 15,3,303.48,0.15,773.87,152.28
ORD-1071,CUST-1093,2022-08-21,2022-08-24,Corporate,South,Clothing,Winter Jacket,3,467.36,0.2,1121.66,161.86
ORD-1072,CUST-1961,2022-05-10,2022-05-16,Home Office,East,Electronics,Dell Monitor,8,171.83,0.0,1374.64,413.66
ORD-1073,CUST-1151,2022-02-22,2022-02-25,Consumer,East,Food & Bev,Blender,8,188.85,0.0,1510.8,362.97
ORD-1074,CUST-2619,2022-11-08,2022-11-09,Home Office,South,Electronics,iPhone 15,4,195.31,0.15,664.05,207.32
ORD-1075,CUST-1123,2023-03-30,2023-04-02,Corporate,West,Furniture,Sofa,10,1485.25,0.1,13367.25,3997.08
ORD-1076,CUST-1005,2023-11-08,2023-11-09,Corporate,South,Electronics,iPhone 15,3,375.0,0.2,900.0,113.65
ORD-1077,CUST-1478,2022-02-03,2022-02-05,Corporate,West,Food & Bev,Blender,5,1066.29,0.15,4531.73,566.07
ORD-1078,CUST-1146,2022-04-28,2022-05-03,Corporate,South,Clothing,Sneakers,4,978.5,0.1,3522.6,1371.42
ORD-1079,CUST-2930,2023-08-06,2023-08-09,Home Office,East,Electronics,iPhone 15,8,204.04,0.1,1469.09,506.7
ORD-1080,CUST-1052,2022-03-24,2022-03-29,Corporate,West,Clothing,Sneakers,1,1336.35,0.1,1202.71,374.4
ORD-1081,CUST-2334,2022-10-03,2022-10-08,Home Office,North,Electronics,iPhone 15,1,1149.4,0.05,1091.93,289.01
ORD-1082,CUST-1682,2023-03-23,2023-03-29,Home Office,South,Food & Bev,Water Bottle,8,1454.2,0.15,9888.56,2193.15
ORD-1083,CUST-2126,2023-02-26,2023-03-04,Corporate,South,Clothing,Winter Jacket,8,446.56,0.15,3036.61,1168.33
ORD-1084,CUST-2689,2022-09-16,2022-09-19,Corporate,North,Electronics,iPad Air,2,1455.87,0.15,2474.98,996.72
ORD-1085,CUST-2556,2022-02-25,2022-02-27,Corporate,West,Electronics,Dell Monitor,9,555.43,0.15,4249.04,1354.99
ORD-1086,CUST-2993,2022-05-15,2022-05-18,Home Office,East,Electronics,iPhone 15,8,1323.65,0.15,9000.82,1282.61
ORD-1087,CUST-1240,2022-01-15,2022-01-20,Home Office,East,Furniture,Standing Desk,7,157.95,0.0,1105.65,289.13
ORD-1088,CUST-2128,2023-12-24,2023-12-27,Home Office,East,Furniture,Bookshelf,7,1255.39,0.15,7469.57,1384.15
ORD-1089,CUST-2749,2023-06-05,2023-06-11,Home Office,South,Furniture,Bookshelf,3,1298.76,0.1,3506.65,1298.99
ORD-1090,CUST-2002,2022-10-17,2022-10-23,Consumer,East,Food & Bev,Water Bottle,5,1259.46,0.2,5037.84,2265.09
ORD-1091,CUST-2428,2022-12-07,2022-12-12,Corporate,West,Furniture,Bookshelf,9,578.27,0.1,4683.99,1894.02
ORD-1092,CUST-2359,2023-02-25,2023-02-26,Consumer,West,Furniture,Sofa,6,1122.16,0.15,5723.02,1345.64
ORD-1093,CUST-2864,2023-05-30,2023-06-04,Consumer,North,Furniture,Bookshelf,6,1307.16,0.15,6666.52,899.31
ORD-1094,CUST-2418,2023-11-02,2023-11-04,Corporate,South,Food & Bev,Coffee Maker,2,714.85,0.1,1286.73,281.15
ORD-1095,CUST-1073,2023-07-01,2023-07-05,Home Office,East,Food & Bev,Coffee Maker,6,947.66,0.15,4833.07,1959.01
ORD-1096,CUST-2421,2022-04-03,2022-04-07,Consumer,East,Electronics,iPhone 15,2,1145.35,0.0,2290.7,584.79
ORD-1097,CUST-1843,2022-02-27,2022-03-02,Corporate,North,Clothing,Winter Jacket,6,574.76,0.05,3276.13,607.62
ORD-1098,CUST-2194,2023-09-17,2023-09-24,Consumer,South,Furniture,Standing Desk,7,937.17,0.05,6232.18,1708.76
ORD-1099,CUST-2387,2022-09-18,2022-09-22,Home Office,West,Furniture,Standing Desk,5,1006.92,0.15,4279.41,1777.77
ORD-1100,CUST-1407,2023-08-25,2023-08-28,Corporate,West,Furniture,Office Desk,7,1041.66,0.15,6197.88,2453.47
ORD-1101,CUST-2699,2023-01-26,2023-01-31,Consumer,North,Food & Bev,Blender,6,870.72,0.1,4701.89,506.29
ORD-1102,CUST-2849,2023-12-04,2023-12-11,Home Office,North,Food & Bev,Water Bottle,1,1367.71,0.15,1162.55,455.13
ORD-1103,CUST-2850,2023-10-14,2023-10-16,Consumer,East,Clothing,Running Shoes,10,390.93,0.05,3713.84,1188.01
ORD-1104,CUST-1850,2023-08-17,2023-08-20,Consumer,West,Electronics,Samsung TV,3,153.4,0.1,414.18,88.78
ORD-1105,CUST-2688,2023-01-10,2023-01-15,Home Office,South,Furniture,Standing Desk,9,1371.96,0.05,11730.26,2228.04
ORD-1106,CUST-2483,2023-04-25,2023-04-26,Consumer,East,Food & Bev,Water Bottle,3,1136.14,0.05,3238.0,1298.6
ORD-1107,CUST-2533,2023-02-09,2023-02-10,Consumer,East,Food & Bev,Tea Set,5,814.13,0.15,3460.05,792.37
ORD-1108,CUST-2149,2023-01-16,2023-01-17,Home Office,West,Clothing,Sneakers,4,717.79,0.2,2296.93,940.55
ORD-1109,CUST-1238,2022-03-06,2022-03-12,Home Office,South,Clothing,Sneakers,8,1365.89,0.1,9834.41,3218.15
ORD-1110,CUST-1929,2023-05-20,2023-05-21,Corporate,North,Furniture,Office Desk,2,367.5,0.2,588.0,86.72
ORD-1111,CUST-2948,2022-06-08,2022-06-12,Home Office,West,Clothing,Sneakers,2,1253.87,0.2,2006.19,487.18
ORD-1112,CUST-1752,2023-03-31,2023-04-04,Consumer,East,Clothing,Winter Jacket,4,1286.07,0.0,5144.28,2280.59
ORD-1113,CUST-2222,2022-07-14,2022-07-15,Corporate,West,Clothing,Winter Jacket,8,155.68,0.05,1183.17,384.05
ORD-1114,CUST-1442,2022-05-09,2022-05-16,Consumer,East,Electronics,MacBook Pro,10,323.7,0.2,2589.6,446.72
ORD-1115,CUST-1357,2022-01-03,2022-01-06,Home Office,South,Furniture,Office Chair,3,1481.54,0.2,3555.7,667.51
ORD-1116,CUST-1107,2023-01-02,2023-01-09,Consumer,South,Electronics,MacBook Pro,4,891.5,0.0,3566.0,574.08
ORD-1117,CUST-1925,2022-03-07,2022-03-11,Home Office,North,Furniture,Bookshelf,8,1171.47,0.2,7497.41,2307.58
ORD-1118,CUST-1980,2023-11-06,2023-11-11,Home Office,North,Furniture,Sofa,5,697.9,0.0,3489.5,423.24
ORD-1119,CUST-1134,2023-12-31,2024-01-04,Corporate,North,Food & Bev,Blender,2,1350.91,0.1,2431.64,760.87
ORD-1120,CUST-2624,2023-09-04,2023-09-09,Corporate,East,Furniture,Office Chair,5,691.5,0.2,2766.0,693.08
ORD-1121,CUST-2494,2023-04-08,2023-04-10,Corporate,South,Electronics,Dell Monitor,7,521.62,0.15,3103.64,743.49
ORD-1122,CUST-2703,2023-11-13,2023-11-16,Corporate,West,Electronics,Samsung TV,6,1431.32,0.15,7299.73,901.49
ORD-1123,CUST-2150,2023-01-17,2023-01-24,Consumer,West,Electronics,MacBook Pro,3,843.43,0.2,2024.23,880.17
ORD-1124,CUST-2229,2023-11-13,2023-11-20,Corporate,West,Clothing,Winter Jacket,7,1304.78,0.0,9133.46,4009.04
ORD-1125,CUST-1717,2023-06-04,2023-06-06,Home Office,North,Clothing,Formal Shirt,3,991.97,0.05,2827.11,1121.08
ORD-1126,CUST-2316,2022-08-20,2022-08-27,Home Office,East,Clothing,Winter Jacket,7,1270.83,0.2,7116.65,2239.97
ORD-1127,CUST-2781,2022-07-04,2022-07-07,Consumer,East,Electronics,Dell Monitor,5,1383.88,0.1,6227.46,636.05
ORD-1128,CUST-1859,2022-05-26,2022-06-01,Consumer,West,Furniture,Sofa,1,155.8,0.2,124.64,21.85
ORD-1129,CUST-2809,2022-11-16,2022-11-22,Corporate,South,Food & Bev,Water Bottle,6,1169.72,0.2,5614.66,1733.12
ORD-1130,CUST-1905,2022-02-20,2022-02-26,Home Office,South,Electronics,iPhone 15,2,422.71,0.15,718.61,194.01
ORD-1131,CUST-2366,2022-04-27,2022-04-30,Home Office,South,Food & Bev,Water Bottle,7,184.12,0.2,1031.07,278.72
ORD-1132,CUST-2565,2023-09-06,2023-09-07,Corporate,South,Clothing,Winter Jacket,1,322.55,0.05,306.42,112.94
ORD-1133,CUST-1471,2022-01-08,2022-01-12,Consumer,East,Clothing,Formal Shirt,7,280.03,0.15,1666.18,477.2
ORD-1134,CUST-2179,2022-02-13,2022-02-17,Home Office,West,Clothing,Winter Jacket,1,700.44,0.0,700.44,281.39
ORD-1135,CUST-1351,2023-10-18,2023-10-22,Home Office,West,Food & Bev,Tea Set,5,190.46,0.0,952.3,417.27
ORD-1136,CUST-2782,2022-04-19,2022-04-21,Corporate,North,Food & Bev,Water Bottle,7,891.53,0.2,4992.57,636.68
ORD-1137,CUST-2855,2022-06-22,2022-06-23,Corporate,South,Clothing,Formal Shirt,9,957.17,0.2,6891.62,1919.2
ORD-1138,CUST-2554,2022-04-16,2022-04-18,Consumer,South,Clothing,Formal Shirt,5,311.96,0.2,1247.84,191.55
ORD-1139,CUST-2279,2023-08-01,2023-08-08,Corporate,West,Electronics,iPhone 15,10,684.38,0.2,5475.04,1779.65
ORD-1140,CUST-1720,2022-03-11,2022-03-15,Corporate,South,Clothing,Formal Shirt,8,954.45,0.1,6872.04,2109.7
ORD-1141,CUST-2751,2022-02-08,2022-02-09,Corporate,West,Electronics,Samsung TV,6,1250.91,0.0,7505.46,2444.03
ORD-1142,CUST-1658,2023-08-18,2023-08-23,Corporate,West,Electronics,Dell Monitor,1,685.61,0.2,548.49,179.98
ORD-1143,CUST-1353,2023-04-07,2023-04-08,Consumer,South,Food & Bev,Tea Set,6,1473.93,0.0,8843.58,2446.06
ORD-1144,CUST-1793,2023-06-21,2023-06-26,Corporate,West,Electronics,iPhone 15,10,254.94,0.1,2294.46,966.61
ORD-1145,CUST-1581,2023-10-25,2023-10-28,Home Office,North,Food & Bev,Water Bottle,2,507.94,0.2,812.7,274.23
ORD-1146,CUST-2430,2022-03-25,2022-03-30,Corporate,South,Clothing,Sneakers,3,1376.78,0.1,3717.31,1630.76
ORD-1147,CUST-2373,2023-07-27,2023-07-31,Corporate,North,Food & Bev,Air Fryer,6,1223.51,0.2,5872.85,779.38
ORD-1148,CUST-1995,2023-01-07,2023-01-10,Consumer,East,Food & Bev,Tea Set,3,1427.73,0.1,3854.87,1664.09
ORD-1149,CUST-2809,2022-03-21,2022-03-24,Consumer,South,Furniture,Standing Desk,2,771.38,0.2,1234.21,484.17
ORD-1150,CUST-1339,2023-01-21,2023-01-23,Home Office,South,Electronics,Samsung TV,3,287.65,0.2,690.36,264.52
ORD-1151,CUST-2533,2023-11-24,2023-11-30,Corporate,West,Food & Bev,Coffee Maker,4,1454.99,0.2,4655.97,929.91
ORD-1152,CUST-1945,2023-04-26,2023-05-03,Corporate,South,Food & Bev,Air Fryer,4,564.4,0.2,1806.08,802.9
ORD-1153,CUST-1984,2022-07-24,2022-07-31,Consumer,West,Clothing,Jeans,10,224.83,0.1,2023.47,239.3
ORD-1154,CUST-2854,2023-06-13,2023-06-20,Home Office,North,Clothing,Sneakers,2,441.89,0.05,839.59,164.12
ORD-1155,CUST-1482,2023-04-07,2023-04-10,Consumer,North,Furniture,Bookshelf,1,634.05,0.15,538.94,148.59
ORD-1156,CUST-1281,2022-01-29,2022-02-01,Consumer,East,Food & Bev,Coffee Maker,2,1261.98,0.1,2271.56,856.34
ORD-1157,CUST-1038,2022-05-23,2022-05-30,Home Office,West,Electronics,Samsung TV,8,683.93,0.0,5471.44,2281.86
ORD-1158,CUST-1249,2023-09-16,2023-09-21,Home Office,South,Clothing,Running Shoes,7,184.56,0.1,1162.73,212.98
ORD-1159,CUST-1033,2023-09-30,2023-10-04,Home Office,West,Electronics,iPhone 15,2,184.07,0.15,312.92,96.65
ORD-1160,CUST-2368,2022-01-02,2022-01-07,Corporate,East,Furniture,Standing Desk,6,376.04,0.15,1917.8,317.51
ORD-1161,CUST-1799,2023-06-23,2023-06-28,Consumer,East,Electronics,Dell Monitor,9,1183.89,0.2,8524.01,2505.66
ORD-1162,CUST-2501,2022-09-17,2022-09-23,Corporate,West,Food & Bev,Coffee Maker,1,548.5,0.0,548.5,121.04
ORD-1163,CUST-2402,2022-02-15,2022-02-18,Consumer,East,Electronics,Dell Monitor,9,521.05,0.05,4454.98,1740.27
ORD-1164,CUST-1408,2022-03-06,2022-03-12,Consumer,South,Food & Bev,Blender,8,74.74,0.05,568.02,65.51
ORD-1165,CUST-1391,2023-02-12,2023-02-19,Home Office,East,Electronics,Samsung TV,9,720.63,0.0,6485.67,2358.53
ORD-1166,CUST-2522,2022-12-06,2022-12-09,Home Office,North,Clothing,Formal Shirt,2,1203.03,0.15,2045.15,841.21
ORD-1167,CUST-1169,2023-05-24,2023-05-30,Consumer,East,Food & Bev,Blender,8,563.67,0.2,3607.49,697.52
ORD-1168,CUST-1605,2022-07-04,2022-07-09,Home Office,West,Food & Bev,Coffee Maker,5,495.39,0.0,2476.95,531.98
ORD-1169,CUST-1890,2023-12-08,2023-12-12,Consumer,West,Clothing,Jeans,6,681.75,0.1,3681.45,1160.39
ORD-1170,CUST-1292,2023-10-15,2023-10-19,Home Office,North,Clothing,Winter Jacket,6,779.37,0.05,4442.41,1925.68
ORD-1171,CUST-1314,2022-08-30,2022-09-06,Consumer,South,Food & Bev,Coffee Maker,6,555.98,0.2,2668.7,297.12
ORD-1172,CUST-1570,2022-03-20,2022-03-25,Corporate,East,Food & Bev,Water Bottle,3,803.6,0.15,2049.18,430.4
ORD-1173,CUST-2587,2022-07-10,2022-07-14,Home Office,North,Furniture,Office Desk,9,592.74,0.2,4267.73,602.67
ORD-1174,CUST-1925,2022-10-20,2022-10-26,Home Office,South,Clothing,Jeans,8,316.26,0.05,2403.58,957.8
ORD-1175,CUST-2825,2022-11-24,2022-11-30,Home Office,North,Furniture,Bookshelf,6,1070.12,0.2,5136.58,1488.38
ORD-1176,CUST-2011,2023-06-05,2023-06-07,Corporate,South,Clothing,Running Shoes,2,1478.0,0.05,2808.2,513.5
ORD-1177,CUST-2468,2023-07-19,2023-07-21,Corporate,East,Electronics,Samsung TV,10,1328.68,0.0,13286.8,2767.0
ORD-1178,CUST-2392,2023-08-12,2023-08-13,Corporate,West,Food & Bev,Tea Set,3,1459.12,0.0,4377.36,1127.13
ORD-1179,CUST-1337,2023-03-20,2023-03-25,Consumer,South,Clothing,Running Shoes,1,1250.46,0.2,1000.37,153.61
ORD-1180,CUST-2280,2023-06-16,2023-06-19,Corporate,South,Furniture,Office Chair,2,390.9,0.2,625.44,122.62
ORD-1181,CUST-2278,2023-10-19,2023-10-21,Home Office,North,Clothing,Sneakers,10,1413.58,0.05,13429.01,2147.57
ORD-1182,CUST-1853,2022-03-25,2022-03-26,Consumer,North,Clothing,Sneakers,10,411.69,0.05,3911.05,1440.97
ORD-1183,CUST-1149,2022-11-06,2022-11-10,Home Office,East,Electronics,iPad Air,4,1210.94,0.15,4117.2,840.33
ORD-1184,CUST-2471,2023-05-11,2023-05-15,Corporate,West,Electronics,iPhone 15,4,523.49,0.05,1989.26,416.56
ORD-1185,CUST-1547,2023-01-15,2023-01-20,Consumer,West,Clothing,Formal Shirt,9,177.15,0.05,1514.63,398.75
ORD-1186,CUST-2772,2022-02-21,2022-02-24,Consumer,South,Food & Bev,Air Fryer,7,1298.96,0.15,7728.81,1444.47
ORD-1187,CUST-1184,2022-06-13,2022-06-17,Consumer,East,Furniture,Office Chair,9,710.89,0.1,5758.21,1578.21
ORD-1188,CUST-2807,2022-08-09,2022-08-14,Consumer,West,Food & Bev,Tea Set,6,92.01,0.1,496.85,135.75
ORD-1189,CUST-1820,2023-03-18,2023-03-20,Consumer,North,Food & Bev,Water Bottle,5,1096.71,0.15,4661.02,1063.08
ORD-1190,CUST-1572,2023-07-21,2023-07-24,Corporate,South,Electronics,Dell Monitor,2,591.8,0.15,1006.06,369.77
ORD-1191,CUST-1407,2023-01-18,2023-01-25,Corporate,North,Electronics,iPhone 15,6,845.59,0.1,4566.19,1663.18
ORD-1192,CUST-2241,2022-02-09,2022-02-11,Consumer,North,Food & Bev,Tea Set,6,1209.87,0.2,5807.38,1509.61
ORD-1193,CUST-2090,2023-02-07,2023-02-12,Consumer,East,Furniture,Office Chair,5,898.71,0.2,3594.84,1401.63
ORD-1194,CUST-2631,2022-01-18,2022-01-21,Corporate,East,Food & Bev,Tea Set,6,1017.23,0.15,5187.87,1578.65
ORD-1195,CUST-1349,2023-11-03,2023-11-10,Corporate,West,Electronics,Dell Monitor,10,874.9,0.0,8749.0,2661.74
ORD-1196,CUST-1310,2023-08-10,2023-08-16,Consumer,South,Food & Bev,Air Fryer,2,302.36,0.15,514.01,107.84
ORD-1197,CUST-1665,2023-09-19,2023-09-23,Home Office,West,Food & Bev,Air Fryer,1,1064.55,0.2,851.64,146.97
ORD-1198,CUST-2776,2022-06-27,2022-07-01,Corporate,West,Food & Bev,Tea Set,9,526.64,0.1,4265.78,1435.67
ORD-1199,CUST-2443,2022-09-10,2022-09-13,Consumer,West,Clothing,Sneakers,9,461.78,0.1,3740.42,1383.62
ORD-1200,CUST-1777,2022-12-24,2022-12-29,Corporate,East,Furniture,Bookshelf,5,445.93,0.2,1783.72,600.79
ORD-1201,CUST-2530,2022-02-13,2022-02-16,Corporate,South,Food & Bev,Water Bottle,2,532.62,0.15,905.45,298.43
ORD-1202,CUST-1490,2022-10-05,2022-10-10,Home Office,South,Food & Bev,Air Fryer,5,223.16,0.2,892.64,320.74
ORD-1203,CUST-2578,2022-08-27,2022-08-28,Home Office,South,Furniture,Office Desk,2,631.69,0.15,1073.87,145.18
ORD-1204,CUST-2322,2023-10-31,2023-11-04,Corporate,South,Furniture,Office Desk,8,982.8,0.1,7076.16,1503.04
ORD-1205,CUST-1074,2022-02-08,2022-02-10,Home Office,South,Electronics,MacBook Pro,7,1325.72,0.05,8816.04,3763.33
ORD-1206,CUST-1686,2022-10-24,2022-10-25,Home Office,South,Food & Bev,Blender,1,461.62,0.2,369.3,50.8
